,Proto-Indo-European Root,Persian Word,Albanian Word,Proto-Indo-European URL,Persian URL,Albanian URL
0,*(s)ḱeh₃ih₂,سایه,hije,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/(s)%E1%B8%B1eh%E2%82%83ih%E2%82%82,https://en.wiktionary.org/wiki/%D8%B3%D8%A7%DB%8C%D9%87,https://en.wiktionary.org/wiki/hije
1,*(s)tewd-,تند,shtyj,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/(s)tewd-,https://en.wiktionary.org/wiki/%D8%AA%D9%86%D8%AF,https://en.wiktionary.org/wiki/shtyj
2,*lewbʰ-,آلفته,labë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewb%CA%B0-,https://en.wiktionary.org/wiki/%D8%A2%D9%84%D9%81%D8%AA%D9%87,https://en.wiktionary.org/wiki/lab%C3%AB
3,*meyḱ-,آمیختن,mëshoj,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/mey%E1%B8%B1-,https://en.wiktionary.org/wiki/%D8%A2%D9%85%DB%8C%D8%AE%D8%AA%D9%86,https://en.wiktionary.org/wiki/m%C3%ABshoj
4,*weyk-,آویختن,vig,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/weyk-,https://en.wiktionary.org/wiki/%D8%A2%D9%88%DB%8C%D8%AE%D8%AA%D9%86,https://en.wiktionary.org/wiki/vig
5,*weyk-,آویختن,vigan,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/weyk-,https://en.wiktionary.org/wiki/%D8%A2%D9%88%DB%8C%D8%AE%D8%AA%D9%86,https://en.wiktionary.org/wiki/vigan
6,*h₁ey-,آی,eja,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81ey-,https://en.wiktionary.org/wiki/%D8%A2%DB%8C,https://en.wiktionary.org/wiki/eja
7,*h₁ey-,آی,jakë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81ey-,https://en.wiktionary.org/wiki/%D8%A2%DB%8C,https://en.wiktionary.org/wiki/jak%C3%AB
8,*sekʷ-,از,shoh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sek%CA%B7-,https://en.wiktionary.org/wiki/%D8%A7%D8%B2,https://en.wiktionary.org/wiki/shoh
9,*h₂ewg-,اوج,ag,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82ewg-,https://en.wiktionary.org/wiki/%D8%A7%D9%88%D8%AC,https://en.wiktionary.org/wiki/ag
10,*nu,اکنون,nu,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/nu,https://en.wiktionary.org/wiki/%D8%A7%DA%A9%D9%86%D9%88%D9%86,https://en.wiktionary.org/wiki/nu
11,*steh₂-,ایستادن,shtaj,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/steh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%A7%DB%8C%D8%B3%D8%AA%D8%A7%D8%AF%D9%86,https://en.wiktionary.org/wiki/shtaj
12,*steh₂-,ایستادن,shtat,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/steh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%A7%DB%8C%D8%B3%D8%AA%D8%A7%D8%AF%D9%86,https://en.wiktionary.org/wiki/shtat
13,*bʰelǵʰ-,بالش,bulçi,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/b%CA%B0el%C7%B5%CA%B0-,https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D9%84%D8%B4,https://en.wiktionary.org/wiki/bul%C3%A7i
14,*dwi(h₁)dḱm̥ti,بیست,-zet,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/dwi(h%E2%82%81)d%E1%B8%B1m%CC%A5ti,https://en.wiktionary.org/wiki/%D8%A8%DB%8C%D8%B3%D8%AA,https://en.wiktionary.org/wiki/-zet
15,*médʰyos,بیشه,mjedër,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/m%C3%A9d%CA%B0yos,https://en.wiktionary.org/wiki/%D8%A8%DB%8C%D8%B4%D9%87,https://en.wiktionary.org/wiki/mjed%C3%ABr
16,*tep-,تاب,ftoh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/tep-,https://en.wiktionary.org/wiki/%D8%AA%D8%A7%D8%A8,https://en.wiktionary.org/wiki/ftoh
17,*tekʷ-,تاختن,ndjek,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/tek%CA%B7-,https://en.wiktionary.org/wiki/%D8%AA%D8%A7%D8%AE%D8%AA%D9%86,https://en.wiktionary.org/wiki/ndjek
18,*tep-,تفسیدن,ftoh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/tep-,https://en.wiktionary.org/wiki/%D8%AA%D9%81%D8%B3%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/ftoh
19,*ten-,تنیدن,ndej,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/ten-,https://en.wiktionary.org/wiki/%D8%AA%D9%86%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/ndej
20,*tekʷ-,تک,ndjek,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/tek%CA%B7-,https://en.wiktionary.org/wiki/%D8%AA%DA%A9,https://en.wiktionary.org/wiki/ndjek
21,*tekʷ-,تکیدن,ndjek,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/tek%CA%B7-,https://en.wiktionary.org/wiki/%D8%AA%DA%A9%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/ndjek
22,*h₁ey-,جن,eja,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81ey-,https://en.wiktionary.org/wiki/%D8%AC%D9%86,https://en.wiktionary.org/wiki/eja
23,*h₁ey-,جن,jakë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81ey-,https://en.wiktionary.org/wiki/%D8%AC%D9%86,https://en.wiktionary.org/wiki/jak%C3%AB
24,*h₂ōwyóm,خایه,ve,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82%C5%8Dwy%C3%B3m,https://en.wiktionary.org/wiki/%D8%AE%D8%A7%DB%8C%D9%87,https://en.wiktionary.org/wiki/ve
25,*swésōr,خواهر,vajzë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sw%C3%A9s%C5%8Dr,https://en.wiktionary.org/wiki/%D8%AE%D9%88%D8%A7%D9%87%D8%B1,https://en.wiktionary.org/wiki/vajz%C3%AB
26,*deh₃-,داد,dhuroj,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/deh%E2%82%83-,https://en.wiktionary.org/wiki/%D8%AF%D8%A7%D8%AF,https://en.wiktionary.org/wiki/dhuroj
27,*deh₃-,دادن,dhuroj,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/deh%E2%82%83-,https://en.wiktionary.org/wiki/%D8%AF%D8%A7%D8%AF%D9%86,https://en.wiktionary.org/wiki/dhuroj
28,*deh₂-,داس,daj,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/deh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%AF%D8%A7%D8%B3,https://en.wiktionary.org/wiki/daj
29,*dʰer-,داشتن,dhre,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0er-,https://en.wiktionary.org/wiki/%D8%AF%D8%A7%D8%B4%D8%AA%D9%86,https://en.wiktionary.org/wiki/dhre
30,*dʰégʷʰeti,داغ,djeg,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0%C3%A9g%CA%B7%CA%B0eti,https://en.wiktionary.org/wiki/%D8%AF%D8%A7%D8%BA,https://en.wiktionary.org/wiki/djeg
31,*dwóh₁,دو,dy,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/dw%C3%B3h%E2%82%81,https://en.wiktionary.org/wiki/%D8%AF%D9%88,https://en.wiktionary.org/wiki/dy
32,*dʰuh₂mós,دود,tym,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0uh%E2%82%82m%C3%B3s,https://en.wiktionary.org/wiki/%D8%AF%D9%88%D8%AF,https://en.wiktionary.org/wiki/tym
33,*dʰew-,دویدن,dejë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0ew-#Proto-Indo-European-run,https://en.wiktionary.org/wiki/%D8%AF%D9%88%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/dej%C3%AB
34,*dʰegʷʰ-,دژن,dhez,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/d%CA%B0eg%CA%B7%CA%B0-,https://en.wiktionary.org/wiki/%D8%AF%DA%98%D9%86,https://en.wiktionary.org/wiki/dhez
35,*dwóh₁,دیگر,dy,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/dw%C3%B3h%E2%82%81,https://en.wiktionary.org/wiki/%D8%AF%DB%8C%DA%AF%D8%B1,https://en.wiktionary.org/wiki/dy
36,*lewk-,رخشیدن,lakuriq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%AE%D8%B4%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/lakuriq
37,*lewk-,رخشیدن,lekë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%AE%D8%B4%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/lek%C3%AB
38,*lewk-,رخشیدن,loqe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%AE%D8%B4%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/loqe
39,*lewk-,رشت,lakuriq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%B4%D8%AA,https://en.wiktionary.org/wiki/lakuriq
40,*lewk-,رشت,lekë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%B4%D8%AA,https://en.wiktionary.org/wiki/lek%C3%AB
41,*lewk-,رشت,loqe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D8%B4%D8%AA,https://en.wiktionary.org/wiki/loqe
42,*h₃rew-,رمبیدن,rashë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%83rew-,https://en.wiktionary.org/wiki/%D8%B1%D9%85%D8%A8%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/rash%C3%AB
43,*h₁rewdʰ-,رودنگ,pruth,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81rewd%CA%B0-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D8%AF%D9%86%DA%AF,https://en.wiktionary.org/wiki/pruth
44,*lewk-,روزگار,lakuriq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D8%B2%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/lakuriq
45,*lewk-,روزگار,lekë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D8%B2%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/lek%C3%AB
46,*lewk-,روزگار,loqe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewk-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D8%B2%DA%AF%D8%A7%D8%B1,https://en.wiktionary.org/wiki/loqe
47,*h₁rewdʰ-,روناس,pruth,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81rewd%CA%B0-,https://en.wiktionary.org/wiki/%D8%B1%D9%88%D9%86%D8%A7%D8%B3,https://en.wiktionary.org/wiki/pruth
48,*ǵerh₂-,زال,grua,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%C7%B5erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B2%D8%A7%D9%84,https://en.wiktionary.org/wiki/grua
49,*ǵerh₂-,زرمان,grua,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%C7%B5erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B2%D8%B1%D9%85%D8%A7%D9%86,https://en.wiktionary.org/wiki/grua
50,*gʷeyh₃-,زیستن,nxit,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/g%CA%B7eyh%E2%82%83-,https://en.wiktionary.org/wiki/%D8%B2%DB%8C%D8%B3%D8%AA%D9%86,https://en.wiktionary.org/wiki/nxit
51,Proto-Indo-European,سام,gjalpë,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%B3%D8%A7%D9%85,https://en.wiktionary.org/wiki/gjalp%C3%AB
52,Proto-Indo-European,سام,shat,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%D8%B3%D8%A7%D9%85,https://en.wiktionary.org/wiki/shat
53,*ḱerh₂-,سر,cërij,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B3%D8%B1,https://en.wiktionary.org/wiki/c%C3%ABrij
54,*ḱerh₂-,سر,thërrime,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B3%D8%B1,https://en.wiktionary.org/wiki/th%C3%ABrrime
55,*ḱerh₂-,سرنا,cërij,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B3%D8%B1%D9%86%D8%A7,https://en.wiktionary.org/wiki/c%C3%ABrij
56,*ḱerh₂-,سرنا,thërrime,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1erh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%B3%D8%B1%D9%86%D8%A7,https://en.wiktionary.org/wiki/th%C3%ABrrime
57,*trewd-,سست,ndrydh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/trewd-,https://en.wiktionary.org/wiki/%D8%B3%D8%B3%D8%AA,https://en.wiktionary.org/wiki/ndrydh
58,*trewd-,سست,tredh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/trewd-,https://en.wiktionary.org/wiki/%D8%B3%D8%B3%D8%AA,https://en.wiktionary.org/wiki/tredh
59,*h₂eḱ-,سنگ,ath,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82e%E1%B8%B1-,https://en.wiktionary.org/wiki/%D8%B3%D9%86%DA%AF,https://en.wiktionary.org/wiki/ath
